,0
ALQ290,0.9499675815863411
PAQ640,0.8892370866652258
PAQ610,0.8663280743462286
ALQ270,0.863194294359196
ALQ280,0.8589799005835315
PAQ655,0.8530365247460557
PAD615,0.8514156040631079
PAD645,0.8459044737410849
PAD660,0.8454722282256322
BPQ050A,0.7901448022476767
PAQ670,0.7779338664361357
PAQ625,0.7728549816295656
BPQ040A,0.7693970175059434
PAD675,0.7514588286146531
PAD630,0.7392478928031122
ALQ142,0.664037173114329
ALQ170,0.6280527339528852
ALQ130,0.6264318132699374
ALQ121,0.5986600389020964
BPQ060,0.5692673438513075
SLD013,0.5393343419062028
SLD012,0.522800950940134
BPQ070,0.510590015128593
ALQ151,0.5097255240976875
ALQ111,0.44564512643181325
DMDEDUC2,0.3996109790360925
DMDMARTL,0.3988545493840501
SLQ030,0.38372595634320295
PAD680,0.37205532742597797
SLQ040,0.3717311432893884
PAQ605,0.3678409336503134
PAQ620,0.3677328722714502
PAQ635,0.36719256537713424
moderate_days,0.36719256537713424
PAQ665,0.36719256537713424
PAQ650,0.36719256537713424
activity_days_total,0.36719256537713424
vigorous_days,0.36719256537713424
BPQ080,0.3385562999783877
SLQ120,0.3355305813702183
BPQ020,0.3353144586124919
SLQ050,0.3347741517181759
bp_sys_mean,0.27415171817592393
bp_dia_mean,0.27415171817592393
BMXWAIST,0.17862545926086018
diet_kcal,0.1743030041063324
diet_carb,0.1743030041063324
diet_prot,0.1743030041063324
diet_fibe,0.1743030041063324
diet_tfat,0.1743030041063324
diet_sfat,0.1743030041063324
diet_mfat,0.1743030041063324
diet_pfat,0.1743030041063324
diet_sodi,0.1743030041063324
diet_alco,0.1743030041063324
diet_sugr,0.1743030041063324
BMXBMI,0.13496866220012968
BMXHT,0.13377998703263452
BMXWT,0.07283336935379295
RIDRETH1,0.0
SEQN,0.0
RIDAGEYR,0.0
RIAGENDR,0.0
hypertension,0.0
